10084.946,2301.851,507.400,316.218,620.346,369.376|20133.803,4598.543,1014.041,631.625,1239.827,736.485|30213.109,6901.427,1522.961,947.844,1860.173,1104.728|40221.363,9198.119,2028.842,1263.251,2475.335,1469.572
10056.751,2298.756,506.641,315.407,616.890,367.110|20098.840,4598.543,1013.281,630.004,1236.371,734.219|30125.141,6893.172,1519.163,945.411,1854.125,1101.329|40104.070,9179.547,2024.284,1260.008,2467.559,1466.173
10069.157,2298.756,507.400,315.407,620.346,368.243|20090.945,4590.290,1013.281,630.815,1234.643,734.219|30037.170,6873.569,1516.884,942.979,1844.621,1097.930|40101.816,9171.293,2024.284,1259.197,2462.375,1463.907
10051.111,2295.661,505.881,314.597,617.754,367.110|20079.668,4589.258,1012.522,630.004,1235.507,734.219|30074.389,6879.760,1517.643,944.600,1850.669,1099.063|40046.551,9163.039,2022.765,1259.197,2459.783,1462.774
10075.924,2293.597,507.400,315.407,615.162,368.243|20341.320,4569.654,1020.877,634.869,1226.868,741.018|30525.516,7080.952,1534.354,953.519,1915.469,1109.260|40843.918,9145.499,2053.148,1276.224,2459.783,1485.435
10065.773,2299.788,507.400,314.597,617.754,365.977|20211.621,4608.861,1017.839,632.436,1240.691,735.352|30219.877,6903.490,1522.961,945.411,1854.989,1099.063|40348.809,9200.183,2031.880,1261.629,2468.423,1466.173
10123.292,2305.978,508.160,316.218,620.346,368.243|20261.246,4608.861,1017.839,632.436,1240.691,737.619|30387.922,6913.808,1526.758,948.654,1861.901,1105.861|40455.949,9216.690,2034.918,1264.062,2483.111,1472.971
10145.849,2308.042,508.919,316.218,622.938,369.376|20228.539,4608.861,1016.320,631.625,1239.827,736.485|30391.305,6910.712,1526.758,948.654,1861.901,1105.861|40537.152,9222.881,2037.197,1266.494,2486.567,1475.237
10144.721,2307.010,508.919,316.218,622.938,369.376|20271.396,4612.988,1017.839,633.247,1244.147,737.619|30501.830,6910.712,1531.316,952.709,1862.765,1111.527|40857.453,9342.565,2058.465,1278.656,2512.486,1485.435
10294.721,2365.820,516.515,321.083,638.490,375.041|20357.111,4672.830,1023.916,636.490,1255.379,742.151|30604.463,7003.570,1538.912,958.384,1884.365,1117.192|41167.602,9359.073,2068.340,1287.576,2522.854,1504.697
