11229.682,2525.743,552.216,347.840,698.969,412.432|22423.273,5044.263,1104.431,694.058,1392.754,822.598|33557.090,7556.593,1654.368,1039.466,2085.675,1230.497|44731.508,10061.700,2206.584,1387.306,2778.596,1641.796
11191.336,2515.425,551.456,347.029,696.377,411.299|22321.770,5028.787,1101.393,692.437,1391.026,820.332|33400.324,7533.894,1650.570,1037.033,2081.355,1225.965|44529.629,10039.001,2199.748,1381.630,2767.364,1632.732
11134.944,2509.234,549.177,344.597,690.329,407.900|22291.318,5017.437,1099.874,690.815,1384.114,816.932|33412.730,7527.704,1649.811,1037.033,2077.899,1225.965|44414.590,10029.716,2195.950,1379.198,2767.364,1630.466
11123.666,2508.203,549.177,344.597,691.193,407.900|22251.844,5014.342,1098.355,690.004,1382.386,815.799|33298.820,7512.227,1644.494,1032.979,2065.803,1220.300|44407.824,10011.144,2194.430,1378.387,2752.676,1628.199
11122.539,2507.171,549.177,344.597,689.465,407.900|22171.770,5007.120,1095.316,687.572,1375.474,813.533|33307.840,7510.164,1645.253,1033.790,2064.939,1221.433|44425.867,10018.366,2195.190,1378.387,2755.268,1629.333
11125.922,2506.139,548.418,344.597,689.465,407.900|22224.777,5016.405,1096.835,689.193,1379.794,814.666|33345.059,7521.513,1646.772,1033.790,2069.259,1222.566|44378.500,10023.525,2193.671,1377.576,2753.540,1625.933
11137.200,2508.203,549.177,344.597,690.329,409.033|22231.543,5016.405,1097.595,689.193,1379.794,814.666|33269.496,7515.322,1644.494,1032.169,2068.395,1220.300|44407.824,10015.271,2195.190,1378.387,2750.084,1628.199
11086.448,2499.949,547.658,343.786,686.873,406.767|22145.830,4995.771,1094.557,686.761,1373.746,811.267|33169.121,7499.846,1640.696,1029.736,2061.483,1215.768|44156.320,9974.001,2185.315,1371.089,2737.124,1615.736
11044.719,2493.758,546.139,342.164,683.417,404.500|22054.477,4984.421,1090.759,683.518,1365.106,807.868|33096.941,7473.020,1636.898,1025.682,2048.523,1211.235|44124.742,9967.811,2185.315,1370.279,2733.668,1616.869
11032.313,2490.663,545.379,342.164,682.553,404.500|22058.988,4983.389,1091.518,684.329,1366.834,809.001|33011.227,7474.052,1634.619,1024.871,2047.659,1210.102|44025.492,9945.111,2180.758,1367.846,2721.572,1612.337
