10139.082,2304.947,506.641,315.407,622.074,369.376|20330.043,4615.052,1016.320,632.436,1245.875,741.018|30394.688,6916.903,1520.682,946.222,1867.949,1106.994|40587.906,9212.563,2030.361,1264.062,2490.023,1480.902
10158.255,2307.010,507.400,316.218,624.666,370.509|20282.674,4607.830,1014.041,631.625,1248.467,739.885|30437.545,6915.871,1522.961,948.654,1871.405,1109.260|40542.793,9215.659,2030.361,1263.251,2492.615,1478.636
10160.510,2307.010,508.160,316.218,623.802,370.509|20298.463,4610.925,1015.560,632.436,1247.603,741.018|30380.027,6908.649,1522.201,947.033,1867.949,1109.260|40479.633,9198.119,2028.842,1262.440,2486.567,1476.370
10140.209,2307.010,507.400,315.407,623.802,369.376|20257.863,4603.702,1013.281,631.625,1243.283,738.752|30395.816,6906.585,1522.201,947.033,1864.493,1109.260|40457.078,9201.214,2028.082,1261.629,2488.295,1476.370
10126.676,2302.883,506.641,315.407,622.938,369.376|20208.238,4598.543,1013.281,630.004,1242.419,737.619|30267.244,6889.045,1519.163,944.600,1856.717,1104.728|40371.363,9192.960,2027.323,1260.819,2478.791,1472.971
10116.525,2300.819,506.641,315.407,622.074,369.376|20226.283,4601.639,1014.041,630.815,1243.283,738.752|30260.479,6896.268,1519.922,945.411,1863.629,1105.861|40281.141,9173.356,2025.044,1259.197,2476.199,1470.705
10091.713,2295.661,505.881,314.597,618.618,368.243|20159.742,4586.163,1011.762,629.193,1236.371,735.352|30244.689,6889.045,1519.163,944.600,1857.581,1102.462|40237.152,9169.229,2024.284,1257.575,2472.743,1468.439
10083.818,2297.724,506.641,314.597,619.482,368.243|20087.562,4586.163,1010.243,627.571,1234.643,733.086|30130.779,6872.537,1514.605,940.546,1847.213,1099.063|40351.062,9176.452,2025.803,1259.197,2470.151,1472.971
10102.991,2297.724,505.881,314.597,620.346,368.243|20217.262,4595.448,1012.522,630.004,1241.555,737.619|30358.598,6900.395,1519.922,946.222,1865.357,1108.127|40470.613,9201.214,2026.563,1260.819,2486.567,1476.370
10160.510,2307.010,507.400,316.218,623.802,370.509|20304.104,4611.957,1014.801,631.625,1249.331,741.018|30311.230,6911.744,1516.884,944.600,1871.405,1106.994|40331.891,9169.229,2021.246,1257.575,2480.519,1474.104
