10891.336,2461.774,539.303,338.110,673.049,398.835|22037.559,4928.706,1089.999,683.518,1349.554,807.868|33590.926,7714.452,1658.926,1042.709,2124.554,1235.030|44737.148,10106.065,2210.382,1390.549,2776.868,1645.195
11212.764,2531.933,552.975,347.840,695.513,412.432|22371.393,5059.739,1104.431,694.869,1391.026,821.465|33460.098,7570.005,1653.609,1039.466,2077.035,1228.231|44648.051,10100.907,2207.343,1387.306,2769.956,1640.663
10995.096,2492.726,544.620,342.164,680.825,403.367|22002.596,4992.675,1090.759,684.329,1365.106,807.868|33021.375,7487.465,1637.657,1028.115,2048.523,1213.501|44027.750,9982.255,2184.556,1371.900,2731.940,1618.002
11016.523,2495.822,545.379,342.975,684.281,404.500|22027.408,4992.675,1091.518,685.950,1368.562,810.134|33031.527,7490.560,1637.657,1028.925,2050.251,1213.501|44006.320,9983.286,2183.796,1370.279,2729.348,1615.736
11051.486,2503.044,546.899,343.786,684.281,405.634|22077.033,5002.993,1093.797,686.761,1370.290,811.267|33040.547,7491.592,1637.657,1028.925,2054.571,1214.635|43974.742,9956.461,2182.277,1370.279,2727.620,1618.002
10926.299,2481.377,542.341,340.543,677.369,401.101|21828.912,4956.563,1083.923,679.464,1353.010,801.070|32767.617,7443.099,1627.783,1020.817,2030.379,1202.171|43776.246,9932.730,2173.162,1363.792,2709.476,1606.671
10972.539,2486.536,543.860,341.353,680.825,403.367|21929.289,4973.072,1087.720,682.707,1362.514,806.735|32840.926,7453.417,1630.062,1023.250,2039.883,1206.703|43836.020,9936.857,2174.681,1365.414,2716.388,1610.071
10991.712,2488.599,543.860,341.353,679.961,403.367|21967.635,4976.167,1087.720,682.707,1361.650,806.735|32976.262,7463.734,1633.100,1026.493,2045.067,1211.235|43935.270,9957.492,2178.479,1368.657,2732.804,1614.603
10974.795,2485.504,543.860,341.353,679.961,403.367|21947.334,4972.040,1088.480,683.518,1360.786,806.735|32899.570,7465.798,1633.100,1024.871,2041.611,1207.836|43784.141,9949.238,2173.922,1364.603,2720.708,1607.804
10961.261,2483.440,543.101,341.353,679.961,402.234|21928.160,4969.977,1087.720,682.707,1361.650,805.602|32882.656,7455.480,1631.581,1024.871,2040.747,1208.969|43714.215,9926.540,2170.884,1362.981,2714.660,1605.538
