11057.125,2495.822,546.139,342.975,684.281,404.500|22047.709,4986.484,1090.759,684.329,1365.970,806.735|33051.828,7471.988,1636.898,1025.682,2045.931,1210.102|43638.652,9988.445,2164.807,1356.495,2737.988,1598.740
11109.005,2504.076,547.658,343.786,686.873,406.767|22159.363,5002.993,1093.797,685.950,1372.882,811.267|33117.242,7482.306,1638.417,1027.304,2054.571,1213.501|43958.953,9947.175,2176.960,1363.792,2729.348,1610.071
11274.794,2511.298,555.254,349.462,689.465,413.565|22284.551,5102.042,1099.114,690.004,1399.666,815.799|33830.020,7633.975,1667.281,1048.385,2096.907,1241.828|45488.273,10202.020,2238.486,1409.198,2804.515,1671.256
11429.305,2570.108,560.571,352.705,707.609,419.230|22781.918,5136.089,1118.863,704.599,1413.490,836.194|34119.871,7692.785,1677.156,1055.682,2115.051,1252.025|45349.551,10247.416,2230.131,1403.522,2820.067,1663.324
11442.839,2600.029,561.331,353.516,717.113,420.363|22910.490,5161.883,1124.180,707.842,1424.721,841.860|34292.426,7740.246,1684.751,1061.358,2136.650,1259.957|45661.957,10286.623,2244.563,1413.252,2836.483,1678.054
11386.448,2563.918,559.052,351.894,705.017,418.097|22724.400,5124.740,1117.344,702.167,1410.034,833.928|34091.676,7686.594,1677.156,1054.871,2116.778,1250.892|45414.965,10244.321,2235.448,1406.765,2820.067,1666.723
11414.644,2580.426,561.331,353.516,710.201,420.363|22687.182,5138.153,1116.585,702.977,1411.762,833.928|34295.809,7740.246,1687.790,1062.979,2129.738,1261.090|43841.660,10087.494,2173.162,1362.171,2758.724,1606.671
10929.682,2474.155,540.822,338.110,675.641,398.835|21878.537,4942.119,1082.403,677.842,1349.554,798.804|32792.430,7416.273,1624.745,1016.763,2024.331,1198.772|43922.863,9880.110,2176.960,1362.981,2694.789,1604.405
10905.998,2474.155,540.822,338.110,673.049,398.835|21790.566,4937.992,1080.884,676.220,1342.642,796.537|32579.271,7389.448,1617.908,1011.898,2007.052,1190.840|43529.254,9850.189,2161.769,1352.441,2674.917,1593.075
11033.441,2493.758,545.379,342.164,681.689,404.500|22025.152,4984.421,1090.759,683.518,1363.378,806.735|33142.051,7486.433,1639.936,1028.115,2048.523,1214.635|44260.078,9994.636,2190.633,1373.522,2737.988,1622.534
