10224.796,2326.613,514.237,319.461,625.530,372.775|20516.133,4666.640,1030.752,641.355,1257.107,748.949|30780.402,7013.888,1546.508,962.438,1892.141,1122.857|40647.680,9345.660,2047.072,1272.981,2518.534,1483.168
9822.165,2283.280,497.526,308.921,612.570,358.045|19353.354,4452.034,985.177,609.734,1185.396,704.760|29481.156,6706.424,1494.856,927.573,1791.918,1073.003|39205.199,8987.641,1990.103,1234.062,2409.671,1426.516
9821.037,2247.168,497.526,308.921,602.202,356.912|19644.330,4492.272,995.811,617.031,1200.948,713.824|29455.217,6741.504,1494.096,925.952,1800.558,1068.470|39269.484,8978.354,1992.382,1234.872,2399.303,1426.516
9825.548,2247.168,497.526,308.110,602.202,356.912|19600.344,4491.241,994.292,616.220,1200.948,711.558|29397.697,6732.218,1492.577,925.141,1799.694,1068.470|39169.109,8976.291,1989.344,1232.440,2397.576,1423.117
9810.887,2244.073,497.526,308.110,599.610,355.779|19607.111,4492.272,995.052,616.220,1200.084,711.558|29370.629,6733.250,1492.577,923.519,1799.694,1066.204|39128.508,8969.068,1989.344,1232.440,2394.984,1421.984
9787.202,2245.104,496.766,308.110,599.610,355.779|19567.639,4478.860,993.532,615.409,1195.764,710.425|29324.389,6721.901,1490.299,922.708,1791.918,1065.071|36452.199,8988.672,1889.079,1165.142,2396.712,1326.807
9719.533,2244.073,494.487,306.488,593.562,353.513|19360.119,4473.701,985.937,610.544,1177.620,703.627|29043.562,6705.393,1478.145,915.411,1767.726,1056.007|38701.066,8931.926,1969.594,1220.278,2357.832,1408.387
9698.104,2233.755,492.968,305.678,592.698,353.513|19373.652,4463.383,984.417,610.544,1184.532,705.893|29013.111,6691.980,1475.867,915.411,1777.230,1057.140|38657.082,8915.417,1968.075,1220.278,2365.608,1409.520
9655.248,2226.533,490.690,304.056,590.106,351.247|19321.773,4452.034,983.658,609.734,1179.348,702.494|28944.314,6673.408,1473.588,912.979,1765.998,1053.741|38510.465,8894.782,1962.758,1217.035,2355.240,1401.589
9641.714,2222.406,490.690,304.056,589.242,351.247|19240.570,4440.685,980.620,607.301,1175.892,701.361|28543.939,6609.439,1459.156,903.249,1744.398,1040.144|37802.195,8782.320,1936.173,1199.197,2313.769,1377.794
