10963.517,2483.440,543.101,341.353,679.097,402.234|21910.115,4964.817,1086.961,681.896,1359.058,804.469|32845.438,7438.972,1630.062,1023.250,2036.427,1206.703|43793.164,9931.698,2173.922,1365.414,2719.844,1610.071
10947.727,2482.409,543.101,340.543,679.097,402.234|21875.152,4958.627,1085.442,681.896,1355.602,803.336|32849.949,7441.036,1630.062,1023.250,2034.699,1206.703|43754.816,9924.477,2173.162,1363.792,2715.524,1606.671
10940.960,2479.313,542.341,340.543,678.233,402.234|21874.025,4958.627,1085.442,681.085,1355.602,803.336|32763.105,7433.813,1627.783,1021.628,2029.515,1203.304|43593.539,9902.810,2167.085,1358.927,2702.564,1599.873
10937.576,2479.313,542.341,340.543,679.097,401.101|21886.432,4955.532,1085.442,681.085,1356.466,804.469|32790.172,7430.718,1627.783,1021.628,2032.107,1205.570|43607.074,9901.777,2167.845,1359.738,2710.340,1602.139
10926.299,2470.028,541.581,339.732,674.777,401.101|21719.514,4935.928,1079.365,677.031,1344.370,796.537|32758.594,7434.845,1627.023,1020.006,2026.059,1201.038|43695.043,9924.477,2169.364,1361.360,2707.749,1604.405
11044.719,2494.790,546.139,342.975,684.281,405.634|22042.070,4958.627,1089.999,684.329,1359.922,809.001|33138.668,7466.830,1637.657,1028.925,2056.299,1216.901|44261.207,9955.429,2187.594,1375.954,2754.404,1628.199
11092.088,2494.790,547.658,344.597,692.921,409.033|22114.250,4981.326,1093.037,688.383,1383.250,814.666|33296.562,7487.465,1646.772,1037.033,2080.491,1228.231|44315.344,9996.699,2195.190,1380.009,2774.276,1633.865
10979.306,2450.424,543.860,340.543,672.185,402.234|22186.432,4989.580,1096.835,689.193,1376.338,814.666|33426.262,7502.941,1650.570,1037.844,2079.627,1229.364|44879.250,10063.764,2214.939,1394.603,2804.515,1651.994
11152.989,2507.171,550.696,346.218,697.241,410.166|22245.078,4999.897,1099.114,690.815,1385.842,818.065|33263.855,7501.910,1643.734,1032.169,2075.307,1220.300|44687.523,9849.158,2202.786,1384.063,2706.885,1639.530
11288.328,2530.901,554.494,349.462,701.561,414.698|22554.100,5067.993,1108.989,698.112,1405.714,828.263|33721.750,7583.418,1661.204,1045.142,2103.819,1239.562|44805.945,10094.716,2210.382,1390.549,2797.604,1647.461
