10520.284,2420.503,528.669,329.191,645.401,384.105|21019.139,4832.752,1058.097,659.193,1287.347,768.211|32138.295,7284.208,1611.832,1005.412,1944.844,1176.111|43073.617,9840.904,2158.730,1346.765,2648.997,1576.079
10881.186,2477.250,543.101,339.732,671.321,398.835|21816.506,4961.722,1089.999,681.085,1346.962,801.070|32464.234,7476.116,1625.504,1015.952,2033.835,1191.974|43845.043,9931.698,2190.633,1370.279,2695.653,1611.204
11083.065,2515.425,552.216,345.408,687.737,407.900|22133.424,5027.755,1103.672,691.626,1376.338,814.666|33248.066,7545.243,1657.406,1037.844,2064.075,1222.566|44340.156,10068.922,2209.622,1383.252,2752.676,1629.333
11118.027,2522.647,552.216,346.218,688.601,407.900|21638.311,5042.199,1083.163,677.031,1377.202,795.404|33543.555,7543.180,1666.521,1044.331,2053.707,1231.630|45129.629,10200.987,2236.967,1402.711,2795.011,1655.393
11266.899,2549.473,557.533,350.272,699.833,413.565|22546.205,5095.851,1115.825,700.545,1398.802,828.263|33780.398,7638.102,1674.877,1050.817,2099.499,1242.961|45133.012,10199.955,2236.967,1404.333,2806.243,1661.058
11277.050,2547.409,557.533,349.462,697.241,413.565|22540.566,5099.978,1115.825,699.734,1397.938,827.130|33889.797,7655.641,1677.156,1051.628,2097.771,1242.961|45325.867,10220.591,2240.765,1405.955,2806.243,1663.324
11282.688,2527.806,557.533,350.272,690.329,414.698|22876.654,5153.629,1127.978,709.464,1421.266,841.860|34339.793,7748.500,1693.866,1064.601,2139.242,1263.356|45742.031,10318.607,2255.957,1417.306,2846.851,1679.187
11327.802,2552.568,559.052,351.083,701.561,414.698|22529.287,5098.946,1113.546,698.112,1400.530,824.864|33724.008,7618.498,1668.041,1046.763,2091.723,1236.163|44799.176,10148.368,2219.497,1392.171,2788.100,1642.929
11211.637,2535.028,554.494,347.840,695.513,411.299|22393.949,5065.930,1108.229,694.869,1390.162,821.465|33557.090,7593.736,1661.964,1041.088,2078.763,1229.364|44644.664,10112.256,2212.660,1386.495,2766.500,1636.131
11182.313,2527.806,552.975,346.218,691.193,409.033|22343.197,5053.549,1105.950,693.247,1380.658,818.065|33515.359,7577.228,1660.445,1040.277,2070.987,1228.231|45339.402,10146.304,2240.765,1406.765,2782.052,1664.457
