10196.601,2321.455,511.958,317.840,622.938,371.642|20476.658,4661.481,1027.714,638.923,1255.379,745.550|30705.967,6990.158,1542.710,959.195,1881.773,1119.458|40889.031,9322.962,2055.427,1277.846,2512.486,1491.100
10227.052,2328.677,512.717,318.651,628.122,372.775|20465.381,4658.386,1027.714,638.923,1257.107,746.683|30721.756,6992.221,1542.710,959.195,1888.685,1120.591|41024.371,9331.216,2060.744,1281.900,2521.990,1497.898
10254.119,2332.804,514.237,319.461,631.578,373.908|20481.170,4660.449,1028.473,638.923,1259.699,746.683|30724.012,6990.158,1542.710,959.195,1888.685,1120.591|40942.039,9320.898,2056.187,1279.467,2518.534,1493.366
10106.375,2319.391,508.160,316.218,626.394,368.243|20066.133,4581.004,1011.762,628.382,1230.323,730.820|30169.125,6876.665,1522.201,945.411,1844.621,1100.196|40402.941,9216.690,2037.197,1266.494,2477.927,1472.971
10132.314,2310.105,509.679,317.029,622.074,369.376|20257.863,4616.083,1019.358,633.247,1243.283,738.752|30396.943,6926.189,1529.797,951.087,1867.085,1109.260|40516.852,9238.357,2039.476,1268.116,2490.023,1477.503
10102.991,2308.042,508.160,315.407,619.482,368.243|19956.734,4584.099,1007.964,625.139,1226.004,725.155|29996.568,6833.331,1515.365,939.736,1816.974,1089.999|40302.566,9193.992,2030.361,1261.629,2464.103,1467.306
10113.142,2304.947,508.160,316.218,620.346,368.243|20221.771,4610.925,1017.079,632.436,1240.691,736.485|30343.938,6917.935,1526.758,948.654,1860.173,1105.861|40592.418,9235.263,2039.476,1267.305,2480.519,1477.503
10175.172,2312.169,509.679,317.029,622.938,370.509|20346.961,4626.401,1018.599,633.247,1246.739,739.885|30579.650,6945.792,1530.556,951.898,1873.997,1112.660|40793.168,9262.088,2040.995,1270.548,2502.982,1485.435
10220.284,2315.264,510.439,317.840,628.122,372.775|20424.779,4631.560,1020.877,635.680,1256.243,744.417|30620.252,6950.951,1532.076,953.519,1882.637,1117.192|40702.941,9260.024,2039.476,1268.927,2508.167,1484.302
10179.683,2313.200,509.679,317.029,625.530,370.509|20345.832,4624.337,1018.599,634.058,1250.195,741.018|30496.191,6933.411,1528.278,951.087,1873.133,1110.394|40575.500,9235.263,2035.678,1267.305,2493.479,1478.636
