11883.815,2677.411,585.637,368.921,742.168,438.492|23706.729,5351.727,1170.515,736.221,1482.609,875.851|35518.363,8017.788,1755.392,1104.331,2218.729,1312.077|47323.234,10690.040,2340.270,1472.442,2955.714,1748.303
11834.191,2669.157,584.118,367.300,737.849,437.359|23685.301,5342.441,1169.755,736.221,1479.153,875.851|35530.770,8020.883,1755.392,1105.142,2220.457,1313.210|47279.246,10680.755,2337.991,1470.820,2956.578,1749.436
11852.236,2673.284,584.878,368.110,740.440,438.492|23681.918,5345.536,1169.755,736.221,1480.017,875.851|35389.793,8002.312,1750.835,1101.088,2212.681,1308.678|47323.234,10677.659,2340.270,1471.631,2953.122,1748.303
11835.319,2672.252,584.118,367.300,739.576,437.359|23651.467,5335.219,1168.996,735.410,1475.697,873.585|35507.086,8011.598,1754.633,1104.331,2217.865,1312.077|47269.098,10685.913,2339.510,1471.631,2957.442,1748.303
11830.809,2670.189,584.118,367.300,737.849,437.359|23659.361,5339.346,1168.996,735.410,1475.697,873.585|35443.930,8007.471,1753.114,1101.899,2210.090,1308.678|47253.309,10667.342,2337.232,1468.387,2941.026,1742.638
11852.236,2672.252,584.118,367.300,737.849,436.226|23670.639,5343.473,1168.236,733.788,1474.833,871.319|35367.238,7991.994,1747.797,1097.845,2204.042,1303.013|47078.496,10626.071,2327.357,1462.712,2928.930,1735.840
11878.177,2676.379,584.878,368.110,740.440,438.492|23858.984,5355.854,1175.072,738.653,1483.473,879.250|35658.215,8036.360,1759.190,1106.764,2225.641,1316.609|47553.309,10711.707,2347.866,1477.306,2966.082,1757.368
11899.605,2686.697,587.916,369.732,743.032,439.625|23697.707,5364.108,1172.794,737.842,1480.881,876.984|35599.566,8039.455,1762.988,1109.196,2217.865,1317.743|47456.316,10745.755,2352.423,1479.739,2964.354,1757.368
11877.049,2686.697,587.156,369.732,739.576,438.492|23695.451,5369.267,1172.794,737.032,1476.561,875.851|35505.957,8037.392,1758.431,1104.331,2209.226,1310.944|47564.586,10743.691,2351.664,1478.117,2957.442,1755.102
11921.033,2690.824,587.916,369.732,742.168,439.625|23829.662,5380.616,1175.832,739.464,1483.473,878.117|35719.117,8055.963,1762.229,1107.574,2218.729,1315.476|47748.422,10766.391,2353.183,1479.739,2968.674,1758.501
