10001.488,2284.311,504.362,312.975,614.298,364.844|20008.615,4561.400,1010.243,626.761,1226.868,730.820|29997.697,6868.410,1515.365,940.546,1849.805,1095.664|39993.547,9148.595,2021.246,1254.332,2458.055,1460.507
10016.149,2288.438,505.122,313.786,615.162,365.977|20014.254,4568.623,1009.484,626.761,1230.323,730.820|30038.299,6857.061,1517.643,942.168,1848.077,1097.930|39974.371,9140.341,2021.246,1254.332,2460.647,1461.641
9869.533,2270.898,499.805,309.732,609.978,360.311|19807.863,4512.908,1002.647,621.896,1206.132,722.889|29884.914,6844.680,1511.567,938.114,1836.845,1091.132|39931.516,9123.832,2019.727,1254.332,2447.687,1457.108
10009.383,2288.438,505.122,313.786,615.162,364.844|19964.629,4566.559,1008.724,625.950,1226.004,728.554|29862.357,6837.458,1510.048,937.303,1832.525,1089.999|39876.254,9113.515,2016.688,1251.089,2444.231,1454.842
9971.037,2282.248,503.602,312.164,612.570,363.711|19871.021,4550.051,1004.167,623.517,1219.956,725.155|29798.072,6812.695,1507.769,935.681,1826.477,1087.732|39695.801,9092.880,2010.612,1247.035,2440.775,1449.177
9937.202,2271.930,502.083,311.353,609.978,362.577|19861.998,4542.829,1004.926,623.517,1219.092,725.155|29746.193,6812.695,1506.250,934.871,1826.477,1086.599|39667.605,9081.530,2009.093,1247.035,2435.591,1449.177
9925.924,2271.930,502.843,311.353,609.114,362.577|19828.164,4539.733,1004.167,622.707,1217.364,724.022|29730.404,6807.537,1506.250,934.060,1823.021,1085.466|39583.020,9072.244,2006.054,1243.792,2428.679,1444.645
9934.946,2271.930,502.083,311.353,609.978,362.577|19872.148,4542.829,1004.926,623.517,1219.092,725.155|29746.193,6811.664,1506.250,934.871,1827.341,1085.466|39632.645,9076.371,2007.573,1245.413,2434.727,1446.911
9910.135,2268.835,501.324,310.542,608.250,361.444|19828.164,4535.606,1002.647,621.896,1214.772,722.889|29758.600,6807.537,1505.490,934.060,1823.885,1085.466|39822.117,9080.499,2015.169,1250.278,2435.591,1453.709
9930.436,2270.898,502.083,311.353,609.978,362.577|19797.713,4535.606,1002.647,621.896,1215.636,722.889|29710.104,6801.346,1503.971,932.438,1819.565,1083.200|39690.164,9078.436,2007.573,1245.413,2430.407,1446.911
