11083.065,2503.044,546.899,342.975,686.009,406.767|22161.619,5001.961,1094.557,686.761,1370.290,812.400|33245.812,7508.100,1642.974,1029.736,2055.435,1218.034|44377.371,10016.303,2192.152,1375.144,2747.492,1625.933
11101.110,2504.076,547.658,343.786,686.873,406.767|22180.791,5006.088,1094.557,685.950,1374.610,812.400|33285.285,7513.259,1643.734,1031.358,2063.211,1219.167|44355.945,10015.271,2192.152,1375.144,2749.220,1624.800
11105.621,2505.107,548.418,343.786,687.737,406.767|22195.453,5012.278,1096.076,687.572,1376.338,813.533|33257.090,7512.227,1643.734,1030.547,2063.211,1219.167|44340.156,10015.271,2193.671,1375.144,2749.220,1624.800
11092.088,2504.076,547.658,343.786,686.009,405.634|22166.131,5007.120,1095.316,686.761,1372.882,811.267|33270.625,7513.259,1644.494,1029.736,2059.755,1218.034|44342.410,10016.303,2193.671,1375.144,2746.628,1624.800
11087.576,2504.076,547.658,342.975,685.145,405.634|22168.385,5009.183,1096.076,686.761,1373.746,812.400|33259.344,7516.354,1645.253,1032.169,2059.755,1218.034|44272.484,10016.303,2192.152,1374.333,2746.628,1623.667
11102.238,2505.107,548.418,343.786,686.873,406.767|22177.408,5010.215,1096.076,687.572,1373.746,812.400|33235.660,7508.100,1643.734,1030.547,2056.299,1218.034|44292.785,10004.953,2192.911,1374.333,2741.444,1622.534
11052.614,2497.885,546.899,342.975,685.145,404.500|22119.889,4992.675,1094.557,685.950,1369.426,811.267|33175.887,7491.592,1642.215,1029.736,2053.707,1216.901|42736.398,9985.350,2131.385,1331.360,2737.124,1563.615
11207.125,2525.743,552.216,346.218,694.649,410.166|22399.588,5049.422,1104.431,693.247,1388.434,820.332|33545.812,7566.910,1655.128,1038.655,2079.627,1229.364|44760.832,10087.494,2208.103,1385.684,2776.004,1640.663
11213.892,2523.679,551.456,346.218,693.785,410.166|22443.572,5051.485,1103.672,693.247,1390.162,821.465|33692.426,7580.323,1657.406,1041.088,2086.539,1233.896|44902.938,10107.098,2209.622,1388.117,2786.372,1645.195
11663.892,2626.855,570.446,360.002,726.617,430.561|23379.662,5248.551,1143.170,722.437,1450.641,862.255|34589.043,7827.945,1696.145,1070.277,2159.978,1273.553|46051.055,10388.768,2260.514,1426.225,2868.451,1696.183
