11399.981,2569.076,562.090,353.516,710.201,419.230|22796.580,5138.153,1125.700,707.031,1418.674,838.460|34202.199,7707.229,1690.068,1060.547,2126.282,1256.558|45647.297,10289.719,2255.957,1414.874,2834.755,1675.788
11475.546,2583.521,565.888,355.137,713.657,421.496|22978.158,5169.105,1131.776,711.085,1426.449,844.126|34441.297,7743.341,1697.664,1067.034,2139.242,1264.489|45888.648,10325.830,2263.552,1422.171,2854.627,1685.985
11495.847,2583.521,565.888,355.948,716.249,423.762|22980.414,5168.074,1133.295,712.707,1432.497,846.392|34435.660,7752.626,1699.183,1067.844,2149.610,1266.755|45844.664,10333.053,2264.312,1422.171,2854.627,1684.852
11367.275,2554.632,561.331,351.894,701.561,415.831|22893.572,5148.470,1129.497,708.653,1421.266,840.727|34407.465,7738.182,1696.905,1065.412,2136.650,1262.223|45799.551,10313.449,2262.033,1421.360,2852.899,1684.852
11443.967,2575.267,564.369,354.327,711.065,420.363|22818.008,5145.375,1126.459,707.842,1419.538,837.327|34234.906,7714.452,1690.828,1061.358,2125.418,1256.558|45739.777,10297.973,2257.476,1416.495,2837.347,1676.921
11424.794,2573.203,563.609,354.327,710.201,419.230|22837.182,5144.343,1127.219,707.842,1420.401,838.460|34289.043,7719.610,1693.866,1063.790,2133.194,1261.090|45717.219,10304.163,2258.235,1418.928,2852.035,1681.453
11409.004,2572.172,562.850,353.516,708.473,418.097|22804.475,5140.216,1125.700,706.221,1414.354,836.194|34228.141,7707.229,1690.068,1060.547,2123.690,1255.425|45762.332,10294.877,2258.235,1417.306,2839.939,1678.054
11431.561,2575.267,563.609,354.327,711.065,419.230|22877.783,5143.312,1128.738,708.653,1421.266,839.593|34309.344,7717.547,1693.866,1063.790,2131.466,1259.957|45687.898,10290.750,2257.476,1417.306,2839.939,1676.921
11341.335,2571.140,559.052,351.894,709.337,418.097|22814.625,5288.790,1124.940,707.031,1468.785,838.460|34512.352,7742.309,1699.183,1067.844,2136.650,1265.622|46019.477,10347.497,2268.110,1426.225,2863.267,1690.517
11492.463,2584.553,565.888,355.137,713.657,421.496|22993.949,5172.201,1132.536,711.896,1429.042,844.126|34502.199,7769.135,1699.183,1067.034,2144.426,1264.489|45871.730,10337.180,2261.274,1419.739,2849.443,1681.453
