11259.005,2585.584,564.369,354.327,699.833,416.964|22490.941,5164.979,1129.497,708.653,1397.074,832.795|33286.414,7750.563,1679.434,1053.250,2097.771,1232.763|44922.109,10320.671,2260.514,1418.928,2792.420,1665.590
11213.892,2581.458,563.609,354.327,698.105,415.831|22364.627,5156.725,1126.459,707.031,1393.618,830.529|33564.984,7726.833,1690.828,1061.358,2088.267,1245.227|44702.184,10306.227,2255.197,1415.684,2789.828,1662.191
11171.035,2574.235,562.850,353.516,696.377,414.698|22299.213,5145.375,1124.940,706.221,1391.890,828.263|33458.969,7714.452,1688.549,1059.736,2086.539,1242.961|44609.703,10286.623,2250.639,1411.630,2778.596,1655.393
11175.546,2572.172,562.090,352.705,694.649,413.565|22320.641,5137.121,1123.421,704.599,1385.842,825.997|33522.129,7703.102,1686.271,1057.304,2079.627,1240.695|44812.711,10293.846,2252.918,1414.063,2784.644,1659.925
11230.810,2576.299,563.609,353.516,699.833,415.831|22448.084,5153.629,1127.219,707.842,1397.938,832.795|33655.211,7727.864,1691.588,1062.169,2097.771,1248.626|44796.922,10300.036,2252.918,1414.874,2794.147,1662.191
11203.741,2574.235,562.850,353.516,696.377,414.698|22414.250,5148.470,1125.700,705.410,1391.890,828.263|33601.074,7720.642,1688.549,1058.925,2086.539,1242.961|44757.449,10288.687,2249.120,1410.819,2780.324,1654.260
11212.764,2573.203,562.090,352.705,696.377,414.698|22457.107,5150.534,1125.700,706.221,1392.754,830.529|33702.578,7729.928,1690.068,1061.358,2093.451,1246.360|44925.492,10310.354,2254.438,1415.684,2794.147,1663.324
11236.448,2578.362,563.609,353.516,699.833,415.831|22460.490,5153.629,1127.219,707.842,1397.074,831.662|33631.523,7729.928,1689.309,1060.547,2094.315,1245.227|44765.344,10300.036,2249.880,1411.630,2785.508,1655.393
11227.426,2575.267,562.850,352.705,696.377,414.698|22496.580,5154.661,1127.219,707.031,1392.754,830.529|33740.922,7738.182,1690.828,1061.358,2095.179,1246.360|44922.109,10310.354,2252.918,1414.063,2790.692,1661.058
11253.365,2579.394,563.609,353.516,699.833,415.831|22476.279,5157.756,1127.219,707.031,1398.802,831.662|33652.953,7726.833,1689.309,1059.736,2094.315,1244.094|44690.906,10239.162,2246.842,1409.198,2766.500,1653.127
