11893.966,2671.220,583.358,366.489,740.440,437.359|23799.211,5341.409,1167.476,734.599,1479.153,875.851|35674.004,8011.598,1752.354,1101.899,2219.594,1313.210|47767.594,10722.025,2347.106,1474.874,2976.450,1758.501
11950.356,2681.538,587.156,368.921,743.896,439.625|23888.309,5361.013,1173.553,737.032,1485.201,879.250|35768.738,8031.201,1758.431,1104.331,2223.913,1315.476|47737.141,10710.676,2344.828,1473.252,2966.946,1755.102
11949.229,2678.443,585.637,368.110,743.032,439.625|23911.992,5357.917,1172.794,737.032,1486.065,879.250|35204.832,8031.201,1735.643,1088.926,2227.369,1295.081|47360.449,10679.723,2331.915,1464.333,2967.810,1743.771
12004.492,2689.792,587.916,369.732,747.352,441.891|23963.871,5371.330,1174.313,738.653,1492.977,882.650|35858.965,8050.805,1759.950,1105.953,2237.737,1321.142|47812.707,10726.152,2348.625,1475.685,2980.770,1763.033
11960.507,2683.602,586.397,368.921,746.488,440.758|23890.562,5361.013,1172.794,737.032,1488.657,881.516|35882.648,8048.741,1762.229,1107.574,2235.145,1323.408|47849.922,10752.978,2351.664,1478.928,2989.410,1766.432
11961.635,2685.665,587.156,368.921,746.488,441.891|23905.225,5370.298,1175.072,738.653,1492.977,883.783|35802.574,8051.836,1761.469,1107.574,2236.873,1322.275|47745.035,10729.247,2348.625,1475.685,2976.450,1761.900
11979.680,2686.697,587.156,368.921,745.624,440.758|23953.721,5369.267,1174.313,737.842,1489.521,881.516|35999.941,8061.122,1763.748,1108.385,2238.601,1323.408|48031.504,10761.231,2353.183,1478.928,2989.410,1766.432
12012.387,2689.792,587.916,369.732,747.352,441.891|23988.684,5374.425,1174.313,737.842,1493.841,882.650|35902.949,8054.932,1759.950,1106.764,2239.465,1321.142|47909.699,10733.374,2348.625,1476.496,2982.498,1764.166
11983.063,2685.665,586.397,368.921,746.488,440.758|23932.293,5365.140,1172.794,737.032,1489.521,880.383|35924.379,8056.995,1761.469,1107.574,2237.737,1322.275|47820.602,10742.660,2347.106,1474.874,2982.498,1760.767
11976.297,2685.665,587.156,368.921,745.624,440.758|23930.037,5371.330,1173.553,737.842,1491.249,881.516|35799.191,8048.741,1758.431,1105.142,2234.281,1320.009|47769.848,10729.247,2347.106,1476.496,2978.178,1761.900
