11776.673,2659.871,581.839,365.678,731.801,433.960|23505.979,5318.710,1162.919,730.545,1462.737,865.654|35175.508,7965.168,1742.480,1094.601,2189.354,1296.214|46813.461,10601.310,2321.281,1458.658,2913.378,1725.642
11723.665,2652.649,580.320,364.867,729.209,432.827|23371.768,5301.170,1159.121,728.113,1455.825,862.255|35030.020,7943.502,1738.682,1092.169,2180.714,1291.682|46621.730,10586.864,2315.963,1454.604,2902.146,1719.977
11849.981,2683.602,584.878,368.110,738.712,436.226|23702.219,5348.631,1169.755,735.410,1471.377,872.452|35613.102,8046.677,1756.912,1104.331,2213.545,1310.944|47505.938,10706.549,2343.308,1472.442,2945.346,1748.303
11906.372,2684.633,586.397,368.921,741.304,438.492|23738.309,5359.980,1170.515,736.221,1481.745,875.851|35639.039,8034.296,1757.671,1105.953,2219.594,1314.343|47514.961,10717.897,2344.828,1474.874,2962.626,1752.835
11864.643,2675.347,584.878,368.110,737.849,437.359|23740.564,5353.790,1170.515,736.221,1477.425,874.718|35618.738,8035.328,1756.912,1104.331,2218.729,1312.077|47352.555,10700.358,2337.232,1470.009,2953.986,1744.904
11881.560,2676.379,584.878,368.110,739.576,437.359|23736.053,5349.663,1169.755,736.221,1478.289,874.718|35485.656,8014.693,1751.594,1101.899,2214.409,1308.678|47352.555,10681.786,2337.232,1470.820,2954.850,1746.037
11838.703,2671.220,584.118,367.300,737.849,436.226|23583.797,5332.123,1164.438,732.167,1470.513,869.053|35451.824,7994.058,1750.075,1101.088,2204.906,1306.412|47305.188,10673.532,2335.713,1468.387,2943.618,1742.638
11834.191,2667.093,582.599,366.489,736.120,436.226|23659.361,5338.314,1166.717,733.788,1473.969,872.452|35473.250,8004.375,1750.075,1101.088,2211.817,1308.678|47170.977,10667.342,2331.155,1466.766,2948.802,1741.505
11834.191,2669.157,583.358,367.300,737.849,437.359|23644.699,5334.187,1166.717,734.599,1473.969,872.452|35431.523,8002.312,1750.075,1101.088,2210.090,1306.412|47606.316,10677.659,2347.106,1476.496,2947.938,1753.969
11921.033,2682.570,586.397,368.921,742.168,439.625|23826.277,5362.044,1172.794,737.842,1486.929,878.117|35702.199,8039.455,1760.709,1106.764,2225.641,1316.609|47469.848,10700.358,2342.549,1474.063,2962.626,1751.702
