11975.169,2694.951,588.676,369.732,743.896,440.758|23906.354,5384.743,1175.832,739.464,1486.065,879.250|35902.949,8072.471,1765.267,1110.818,2229.961,1321.142|47944.660,10775.677,2356.981,1482.982,2974.722,1763.033
12033.815,2702.173,590.195,371.354,747.352,441.891|24055.225,5401.251,1179.630,741.896,1495.569,883.783|36049.566,8102.393,1769.065,1113.250,2245.513,1324.541|48070.977,10788.058,2359.260,1484.604,2989.410,1767.565
12025.921,2699.078,588.676,370.543,748.216,441.891|23992.066,5391.965,1176.591,740.275,1494.705,882.650|35998.816,8079.694,1766.786,1112.439,2237.737,1323.408|47983.008,10779.804,2356.221,1482.982,2986.818,1765.299
11985.319,2689.792,587.916,369.732,745.624,440.758|23986.428,5386.806,1176.591,740.275,1492.977,881.516|35963.852,8080.726,1766.027,1111.628,2239.465,1322.275|47825.113,10759.168,2350.145,1478.928,2979.906,1759.634
11984.191,2691.855,587.916,369.732,745.624,440.758|23948.082,5382.679,1175.832,740.275,1491.249,881.516|35793.551,8062.154,1759.950,1107.574,2232.553,1317.743|47852.180,10750.914,2353.183,1480.550,2978.178,1761.900
11939.079,2686.697,586.397,368.921,743.896,439.625|23870.262,5367.203,1174.313,738.653,1486.065,879.250|35781.145,8050.805,1761.469,1108.385,2230.825,1318.876|47576.992,10729.247,2345.587,1475.685,2972.994,1755.102
11917.650,2680.506,586.397,368.921,742.168,439.625|23763.119,5353.790,1170.515,736.221,1481.745,876.984|35577.012,8023.979,1753.873,1103.520,2218.729,1312.077|47542.031,10690.040,2344.068,1474.874,2954.850,1753.969
11895.094,2680.506,585.637,368.110,743.032,438.492|23694.322,5346.568,1168.236,735.410,1480.881,874.718|35592.801,8016.756,1755.392,1105.142,2220.457,1315.476|47452.934,10698.295,2342.549,1474.874,2963.490,1753.969
11863.515,2671.220,584.878,368.110,738.712,437.359|23721.391,5349.663,1170.515,736.221,1479.153,875.851|35584.906,8026.042,1756.152,1104.331,2218.729,1313.210|47449.547,10699.326,2341.030,1471.631,2956.578,1749.436
11907.500,2679.474,585.637,368.110,741.304,438.492|23852.217,5359.980,1172.794,737.842,1483.473,878.117|35357.086,8033.265,1746.277,1097.034,2222.185,1303.013|47610.828,10684.882,2346.347,1475.685,2954.850,1752.835
