11957.124,2680.506,585.637,368.921,745.624,440.758|23902.969,5361.013,1172.034,737.842,1490.385,880.383|35808.215,8028.106,1756.912,1105.142,2230.825,1318.876|47782.254,10718.930,2344.068,1474.874,2979.042,1759.634
11961.635,2680.506,585.637,368.921,745.624,440.758|23906.354,5355.854,1171.274,737.032,1487.793,880.383|35869.117,8039.455,1757.671,1106.764,2234.281,1321.142|47776.617,10714.803,2343.308,1474.874,2977.314,1758.501
11936.823,2674.316,584.878,367.300,742.168,438.492|23888.309,5354.822,1170.515,736.221,1486.929,879.250|35835.281,8035.328,1756.152,1105.142,2231.689,1317.743|47993.156,10746.787,2349.385,1478.117,2989.410,1765.299
11988.703,2684.633,586.397,368.921,747.352,440.758|23962.744,5365.140,1172.034,737.842,1493.841,881.516|35930.020,8046.677,1759.190,1106.764,2240.329,1322.275|47792.406,10710.676,2341.789,1474.063,2979.906,1758.501
11980.808,2682.570,586.397,368.921,746.488,440.758|23908.609,5359.980,1171.274,737.032,1490.385,880.383|35840.922,8032.233,1756.912,1105.953,2234.281,1320.009|47774.359,10714.803,2343.308,1474.874,2979.906,1760.767
11927.801,2674.316,584.878,368.110,743.032,439.625|23878.158,5354.822,1170.515,737.032,1488.657,879.250|35799.191,8034.296,1756.152,1105.142,2235.145,1318.876|47630.000,10704.485,2339.510,1471.631,2974.722,1755.102
11927.801,2676.379,584.878,368.110,743.896,439.625|23836.428,5351.727,1169.755,737.032,1487.793,879.250|35640.168,8016.756,1752.354,1102.709,2228.233,1315.476|47498.043,10678.691,2337.991,1470.820,2966.946,1753.969
11843.214,2663.998,582.599,366.489,739.576,437.359|23598.459,5320.774,1162.919,731.356,1475.697,871.319|35446.184,7977.550,1747.037,1098.655,2211.817,1308.678|47300.676,10647.738,2331.155,1465.955,2951.394,1747.170
11828.553,2661.935,581.839,365.678,737.849,436.226|23678.533,5326.964,1165.957,732.977,1477.425,874.718|35528.516,7993.026,1750.075,1101.088,2217.865,1312.077|47300.676,10655.992,2332.674,1466.766,2957.442,1748.303
11868.026,2668.125,583.358,367.300,740.440,438.492|23701.090,5337.282,1167.476,734.599,1480.881,875.851|35511.598,7993.026,1750.075,1101.088,2217.865,1312.077|47397.668,10666.310,2336.472,1469.198,2959.170,1751.702
