10946.599,2544.314,553.735,347.029,680.825,405.634|21643.951,5045.294,1099.114,688.383,1346.098,802.203|33058.594,7643.260,1671.079,1048.385,2045.931,1224.832|44073.988,10205.114,2227.852,1396.225,2731.940,1630.466
11077.426,2557.727,558.292,349.462,684.281,409.033|22172.896,5118.549,1116.585,699.734,1371.154,818.065|33263.855,7681.435,1676.396,1050.817,2058.891,1228.231|44349.176,10244.321,2235.448,1401.901,2748.356,1639.530
11118.027,2561.854,559.052,350.272,688.601,411.299|22207.859,5121.645,1118.104,701.356,1376.338,821.465|33261.602,7682.467,1677.915,1052.439,2067.531,1231.630|44256.695,10242.258,2235.448,1402.711,2752.676,1638.397
11083.065,2561.854,559.052,350.272,686.009,410.166|22159.363,5121.645,1118.104,700.545,1372.882,819.198|33201.828,7679.372,1676.396,1050.817,2058.891,1228.231|44239.777,10226.781,2234.688,1401.090,2740.580,1637.264
11087.576,2560.822,559.052,351.083,686.873,411.299|22170.641,5119.581,1118.104,700.545,1374.610,820.332|33155.586,7672.149,1675.636,1050.006,2059.755,1228.231|44213.840,10230.908,2235.448,1401.901,2748.356,1638.397
11059.381,2557.727,558.292,350.272,686.009,409.033|22099.588,5113.391,1115.825,699.734,1370.290,816.932|33177.016,7672.149,1675.636,1050.006,2053.707,1227.098|44278.125,10227.813,2234.688,1399.468,2737.124,1634.998
11072.915,2558.759,558.292,350.272,685.145,409.033|22140.189,5114.422,1116.585,699.734,1371.154,818.065|33184.910,7669.054,1674.877,1049.196,2058.027,1225.965|44225.117,10221.622,2233.929,1399.468,2741.444,1636.131
11080.810,2559.791,558.292,350.272,687.737,410.166|22134.551,5115.454,1116.585,699.734,1374.610,819.198|33151.074,7669.054,1674.117,1048.385,2057.163,1225.965|44106.695,10207.178,2229.371,1395.414,2735.396,1630.466
11060.509,2554.632,557.533,349.462,684.281,407.900|22152.596,5108.232,1115.825,698.923,1371.154,818.065|33207.465,7666.991,1674.117,1048.385,2054.571,1225.965|44359.328,10232.972,2236.208,1400.279,2744.036,1637.264
11083.065,2508.203,558.292,349.462,666.137,409.033|22427.783,5158.788,1126.459,706.221,1389.298,828.263|33631.523,7736.119,1690.068,1059.736,2086.539,1241.828|44706.695,10308.290,2250.639,1410.819,2779.460,1653.127
