11840.959,2668.125,583.358,366.489,737.849,436.226|23684.172,5335.219,1167.476,733.788,1474.833,872.452|35511.598,8005.407,1751.594,1101.088,2215.273,1308.678|47244.285,10669.405,2334.193,1466.766,2949.666,1743.771
11771.034,2658.839,581.839,365.678,734.393,433.960|23455.227,5305.297,1161.400,729.734,1461.873,865.654|35216.109,7967.232,1743.999,1095.412,2193.674,1299.614|46911.578,10618.850,2322.040,1457.036,2918.562,1727.908
11760.884,2655.744,580.320,364.867,730.073,432.827|23537.557,5313.552,1162.919,729.734,1461.873,866.787|35264.605,7971.359,1743.239,1094.601,2192.810,1298.481|47075.113,10622.977,2325.838,1461.090,2923.746,1734.707
11774.417,2658.839,581.080,364.867,732.665,433.960|23502.594,5297.043,1161.400,729.734,1457.553,867.920|35896.184,8056.995,1766.027,1111.628,2229.961,1324.541|47825.113,10781.867,2353.943,1480.550,2985.090,1763.033
12037.199,2703.205,590.195,371.354,749.080,443.024|24069.887,5403.314,1181.149,742.707,1496.433,886.049|36107.086,8110.646,1771.344,1114.872,2246.377,1329.073|48119.473,10797.343,2363.817,1486.225,2989.410,1770.964
12066.522,2707.332,590.954,372.164,750.808,444.157|24080.037,5402.283,1179.630,742.707,1497.297,886.049|36200.695,8117.869,1774.382,1116.493,2251.561,1331.339|48240.148,10824.169,2363.817,1488.658,3003.233,1774.364
12082.312,2707.332,590.954,372.164,751.672,444.157|24149.961,5414.664,1181.909,744.329,1502.481,888.315|36174.754,8118.900,1772.103,1115.683,2252.425,1330.206|48207.441,10802.502,2362.298,1487.036,2995.458,1773.230
12058.627,2703.205,590.195,372.164,751.672,444.157|24056.354,5403.314,1178.870,742.707,1501.617,886.049|36121.746,8102.393,1770.584,1115.683,2251.561,1331.339|48116.090,10805.598,2360.019,1487.036,3001.505,1774.364
12036.071,2700.110,589.435,371.354,749.080,443.024|24071.014,5402.283,1179.630,742.707,1499.889,887.182|36114.980,8107.551,1769.824,1114.061,2249.833,1330.206|48155.562,10798.375,2360.779,1485.415,2995.458,1773.230
12069.905,2706.300,590.195,372.164,751.672,444.157|24081.164,5405.378,1179.630,742.707,1501.617,887.182|36180.395,8106.520,1771.344,1115.683,2251.561,1332.472|48244.660,10819.010,2362.298,1487.847,3006.689,1776.630
