11946.974,2702.173,590.195,371.354,744.760,440.758|23940.188,5403.314,1182.668,743.518,1490.385,882.650|35842.047,8112.710,1772.103,1114.872,2236.873,1322.275|47579.246,10811.788,2355.462,1481.360,2980.770,1755.102
11977.425,2704.237,590.954,371.354,745.624,441.891|23930.037,5404.346,1181.909,743.518,1490.385,882.650|35847.688,8107.551,1772.103,1114.061,2235.145,1323.408|47633.383,10787.025,2358.500,1482.982,2971.266,1758.501
11958.252,2700.110,590.195,371.354,743.896,440.758|23790.188,5391.965,1176.591,739.464,1484.337,878.117|35676.258,8047.709,1763.748,1109.196,2210.090,1314.343|47799.172,10784.962,2360.019,1482.982,2968.674,1760.767
11990.958,2702.173,590.195,371.354,744.760,440.758|23873.646,5389.902,1175.832,739.464,1485.201,879.250|35802.574,8064.217,1764.507,1110.818,2222.185,1320.009|47925.488,10796.312,2362.298,1487.036,2982.498,1768.698
11980.808,2698.046,590.195,371.354,746.488,443.024|23963.871,5402.283,1180.389,743.518,1494.705,884.916|35910.844,8102.393,1770.584,1114.872,2241.193,1325.674|47711.203,10787.025,2355.462,1482.171,2979.906,1761.900
11976.297,2699.078,589.435,371.354,746.488,441.891|23900.713,5396.092,1178.111,741.896,1491.249,882.650|35773.250,8077.630,1766.027,1111.628,2230.825,1322.275|47657.066,10772.581,2354.702,1481.360,2975.586,1761.900
11898.478,2688.760,587.156,369.732,742.168,439.625|23843.195,5375.457,1176.591,740.275,1484.337,881.516|35723.629,8066.281,1763.748,1110.007,2227.369,1320.009|47517.219,10749.883,2347.106,1478.117,2970.402,1755.102
11913.139,2686.697,587.156,369.732,742.168,439.625|23813.871,5377.521,1174.313,738.653,1486.929,879.250|35579.266,8040.487,1756.912,1105.142,2219.594,1313.210|47789.023,10751.946,2355.462,1482.982,2971.266,1763.033
11970.657,2694.951,589.435,370.543,746.488,441.891|23960.488,5396.092,1179.630,743.518,1496.433,884.916|35888.289,8091.043,1769.065,1114.061,2243.785,1326.807|47710.074,10759.168,2355.462,1482.982,2980.770,1765.299
11936.823,2690.824,588.676,370.543,744.760,441.891|23856.729,5383.711,1176.591,741.086,1489.521,881.516|35798.062,8076.599,1766.786,1111.628,2236.009,1322.275|46864.211,10667.342,2324.319,1460.279,2936.706,1729.041
