11930.057,2677.411,584.878,368.110,744.760,439.625|23860.113,5349.663,1170.515,737.032,1487.793,879.250|35752.949,8020.883,1755.392,1104.331,2229.961,1316.609|47751.805,10711.707,2344.828,1474.874,2979.042,1758.501
11919.906,2674.316,584.878,368.110,743.896,438.492|23828.533,5343.473,1169.755,735.410,1485.201,878.117|35715.734,8015.725,1755.392,1104.331,2229.097,1316.609|47557.820,10683.850,2338.751,1470.009,2970.402,1752.835
11890.583,2670.189,584.118,367.300,742.168,438.492|23764.248,5338.314,1168.236,734.599,1481.745,875.851|35571.371,8000.249,1750.835,1100.277,2219.594,1310.944|47490.148,10666.310,2337.232,1468.387,2959.170,1750.569
11866.898,2666.062,583.358,366.489,740.440,437.359|23740.564,5332.123,1167.476,734.599,1481.745,875.851|35570.242,7995.089,1751.594,1101.088,2222.185,1313.210|47323.234,10655.992,2334.193,1466.766,2960.034,1748.303
11851.109,2662.966,583.358,366.489,739.576,437.359|23687.557,5324.901,1165.957,732.977,1478.289,874.718|35487.914,7985.804,1748.556,1098.655,2216.137,1309.811|47357.066,10639.484,2333.434,1465.955,2954.850,1747.170
11805.996,2660.903,581.080,364.867,738.712,435.093|23785.676,5326.964,1168.236,734.599,1481.745,876.984|35688.664,8003.344,1754.633,1103.520,2228.233,1317.743|47600.676,10683.850,2340.270,1472.442,2978.178,1758.501
11902.988,2671.220,584.878,368.110,743.896,439.625|23756.354,5337.282,1168.236,735.410,1486.065,878.117|35659.340,8005.407,1754.633,1104.331,2227.369,1317.743|47504.812,10675.596,2339.510,1471.631,2966.082,1755.102
11881.560,2672.252,584.118,367.300,741.304,438.492|23739.436,5338.314,1168.996,734.599,1479.153,875.851|35598.441,8010.566,1753.114,1101.899,2217.001,1313.210|47422.480,10680.755,2334.953,1466.766,2954.850,1747.170
11906.372,2673.284,584.118,367.300,739.576,438.492|23800.338,5347.600,1168.236,734.599,1480.881,875.851|35617.613,8008.502,1749.316,1098.655,2217.001,1310.944|47519.473,10679.723,2334.953,1467.577,2956.578,1749.436
11884.943,2671.220,583.358,366.489,739.576,437.359|23725.902,5333.155,1165.198,732.167,1475.697,873.585|35595.055,8004.375,1750.075,1099.466,2213.545,1310.944|47480.000,10674.564,2333.434,1465.955,2951.394,1747.170
