12037.199,2704.237,590.954,372.164,750.808,445.290|24052.969,5406.410,1181.149,743.518,1502.481,888.315|36059.719,8098.265,1771.344,1114.061,2248.969,1331.339|48192.781,10813.852,2365.336,1488.658,3004.097,1778.896
12095.846,2708.364,591.714,372.975,754.264,446.424|24161.240,5413.632,1181.909,744.329,1507.665,890.581|36266.109,8113.742,1774.382,1117.304,2260.201,1337.004|48395.789,10833.455,2368.375,1491.090,3020.513,1784.561
12118.401,2709.396,591.714,372.975,756.856,446.424|24223.270,5413.632,1183.428,745.140,1510.257,891.714|36401.445,8132.313,1777.420,1119.737,2268.841,1340.404|48608.945,10849.963,2371.413,1493.523,3029.153,1787.960
12180.432,2715.586,592.473,373.786,759.448,447.557|24331.541,5430.140,1184.947,746.761,1518.033,895.113|36448.812,8137.472,1776.661,1119.737,2275.753,1341.537|48541.277,10846.867,2367.615,1491.901,3030.881,1786.827
12168.025,2715.586,592.473,372.975,759.448,447.557|24355.225,5435.299,1185.706,747.572,1519.760,896.246|36446.559,8146.758,1777.420,1119.737,2278.345,1342.670|48577.367,10852.026,2370.653,1493.523,3033.473,1790.226
12159.003,2715.586,591.714,372.975,758.584,447.557|24280.789,5423.950,1183.428,745.140,1515.441,893.980|36437.535,8127.155,1776.661,1118.926,2268.841,1340.404|48611.199,10850.994,2369.894,1492.712,3030.881,1787.960
12159.003,2711.459,591.714,372.975,758.584,447.557|24257.104,5414.664,1181.909,744.329,1514.577,893.980|36542.422,8131.282,1778.939,1121.358,2275.753,1344.936|49043.156,10894.328,2386.604,1505.685,3056.801,1808.355
12209.755,2720.745,593.993,374.597,762.904,450.956|24413.871,5446.648,1188.745,749.194,1527.536,899.645|36604.453,8164.298,1784.257,1124.602,2286.985,1349.468|48727.367,10882.979,2376.730,1497.577,3051.617,1797.025
12233.439,2724.872,594.752,375.408,763.768,450.956|24436.428,5450.775,1190.264,750.005,1528.400,900.778|36664.227,8167.393,1786.535,1126.223,2291.305,1352.867|48823.230,10899.487,2381.287,1501.631,3058.529,1802.690
12207.499,2723.840,594.752,374.597,763.768,450.956|24386.803,5446.648,1188.745,750.005,1526.672,899.645|36567.234,8164.298,1784.257,1123.791,2287.849,1348.335|48657.441,10875.757,2375.211,1495.955,3042.113,1793.625
