11846.598,2666.062,582.599,366.489,739.576,437.359|23715.752,5333.155,1167.476,734.599,1480.017,875.851|35619.867,8011.598,1753.873,1102.709,2224.777,1315.476|47376.238,10674.564,2334.193,1468.387,2966.082,1750.569
11880.433,2670.189,584.118,368.110,742.168,439.625|23731.541,5337.282,1168.236,735.410,1484.337,878.117|35460.844,7991.994,1748.556,1099.466,2220.457,1310.944|47328.871,10651.865,2332.674,1467.577,2957.442,1749.436
11839.831,2662.966,582.599,366.489,739.576,437.359|23699.963,5327.996,1166.717,733.788,1479.153,875.851|35598.441,8002.312,1753.114,1102.709,2223.049,1315.476|47343.535,10669.405,2333.434,1468.387,2962.626,1749.436
11873.665,2670.189,584.118,368.110,742.168,438.492|23730.414,5338.314,1168.996,736.221,1482.609,878.117|35455.207,7999.217,1750.075,1101.088,2221.321,1312.077|47304.059,10661.151,2336.472,1470.009,2957.442,1750.569
11815.019,2665.030,582.599,366.489,737.849,436.226|23651.467,5326.964,1167.476,733.788,1474.833,874.718|35531.898,8003.344,1752.354,1101.899,2217.001,1313.210|47336.766,10675.596,2335.713,1469.198,2958.306,1749.436
11866.898,2670.189,584.118,368.110,740.440,438.492|23713.496,5340.377,1168.996,735.410,1481.745,876.984|35482.273,8002.312,1751.594,1101.899,2219.594,1313.210|47296.164,10657.024,2336.472,1469.198,2953.986,1749.436
11830.809,2668.125,583.358,366.489,738.712,437.359|23624.398,5326.964,1165.198,732.167,1474.833,872.452|35545.434,7998.185,1752.354,1101.899,2213.545,1312.077|47421.352,10678.691,2337.232,1469.198,2957.442,1749.436
11863.515,2666.062,583.358,367.300,738.712,437.359|23755.225,5340.377,1168.236,734.599,1482.609,876.984|35635.656,8013.661,1753.873,1103.520,2223.049,1315.476|47392.031,10677.659,2334.193,1467.577,2962.626,1748.303
11889.455,2671.220,584.118,367.300,740.440,438.492|23781.166,5343.473,1168.236,734.599,1483.473,875.851|35558.965,7999.217,1748.556,1098.655,2217.001,1308.678|47664.961,10678.691,2339.510,1470.820,2962.626,1753.969
11963.891,2678.443,585.637,368.110,744.760,439.625|23917.631,5355.854,1169.755,736.221,1488.657,879.250|35843.176,8033.265,1754.633,1103.520,2232.553,1316.609|47807.066,10691.072,2340.270,1472.442,2967.810,1756.235
