11193.591,2570.108,561.331,351.894,695.513,413.565|22428.912,5140.216,1124.940,704.599,1390.162,828.263|33620.246,7712.388,1687.030,1058.925,2089.131,1244.094|44811.582,10284.560,2250.639,1412.441,2789.828,1661.058
11208.253,2570.108,562.850,353.516,698.969,415.831|22386.055,5141.248,1124.940,706.221,1396.210,830.529|33515.359,7707.229,1686.271,1058.925,2091.723,1244.094|44599.555,10262.893,2246.842,1409.198,2779.460,1653.127
11166.523,2565.981,561.331,351.894,693.785,413.565|22315.002,5127.835,1121.902,702.977,1385.842,825.997|33536.789,7701.039,1685.511,1056.493,2083.947,1240.695|44713.461,10269.083,2247.601,1409.198,2781.188,1654.260
11196.975,2570.108,562.090,352.705,697.241,414.698|22371.393,5138.153,1124.180,705.410,1394.482,829.396|33560.473,7706.197,1687.030,1058.115,2089.995,1242.961|44676.246,10272.179,2249.120,1410.819,2786.372,1655.393
11171.035,2567.013,561.331,351.894,694.649,413.565|22304.852,5128.867,1122.661,703.788,1386.706,825.997|33447.691,7694.848,1683.992,1055.682,2081.355,1238.429|44579.254,10259.798,2245.323,1408.387,2775.140,1650.861
11164.268,2564.949,561.331,351.894,693.785,413.565|22311.619,5129.899,1122.661,704.599,1388.434,827.130|33403.707,7689.689,1682.473,1055.682,2082.219,1238.429|44562.336,10246.385,2245.323,1408.387,2774.276,1651.994
11172.163,2565.981,562.090,352.705,694.649,413.565|22301.469,5128.867,1122.661,703.788,1388.434,825.997|33437.539,7689.689,1683.232,1055.682,2080.491,1238.429|44659.328,10257.734,2247.601,1409.198,2775.140,1654.260
11190.208,2570.108,562.090,352.705,696.377,414.698|22401.844,5143.312,1125.700,706.221,1394.482,830.529|33583.027,7716.515,1689.309,1059.736,2092.587,1245.227|44703.312,10280.433,2251.399,1412.441,2788.964,1657.659
11173.290,2568.045,562.090,352.705,696.377,414.698|22340.941,5134.026,1124.940,706.221,1392.754,829.396|33381.148,7698.975,1683.992,1056.493,2089.131,1240.695|42475.871,10027.652,2172.403,1358.927,2694.789,1577.212
10735.697,2492.726,546.139,342.164,668.729,398.835|21413.875,4960.690,1090.759,682.707,1326.226,795.404|34174.004,7443.099,1711.337,1074.331,1989.772,1264.489|46856.316,10865.439,2330.396,1464.333,3011.009,1733.574
