12191.710,2718.681,593.993,373.786,761.176,448.690|24372.141,5436.331,1187.226,748.383,1523.216,898.512|36519.867,8146.758,1781.218,1122.169,2282.665,1346.069|48713.832,10874.725,2377.490,1498.388,3048.161,1797.025
12164.643,2715.586,593.233,373.786,760.312,448.690|24334.924,5430.140,1187.226,748.383,1519.760,897.379|36486.031,8147.790,1781.218,1122.169,2278.345,1344.936|48569.473,10857.186,2372.173,1493.523,3034.337,1789.093
12183.815,2718.681,593.233,373.786,760.312,448.690|24356.352,5435.299,1187.226,748.383,1521.489,897.379|36481.520,8148.821,1780.459,1122.169,2282.665,1344.936|48613.457,10860.280,2374.451,1495.955,3042.977,1794.759
12151.108,2713.522,593.233,373.786,760.312,448.690|24269.510,5420.854,1185.706,746.761,1518.033,896.246|36358.590,8124.059,1778.180,1119.737,2272.297,1342.670|48403.684,10834.486,2366.855,1490.279,3027.425,1785.694
12130.808,2709.396,592.473,372.975,757.720,447.557|24235.676,5415.696,1184.187,745.140,1515.441,893.980|36294.305,8119.932,1775.142,1117.304,2272.297,1339.271|48382.254,10813.852,2369.134,1491.901,3023.969,1787.960
12103.740,2708.364,591.714,372.975,757.720,447.557|24193.947,5411.568,1184.187,745.951,1512.849,893.980|36402.574,8135.409,1781.218,1122.169,2274.025,1344.936|48463.457,10857.186,2372.173,1493.523,3033.473,1787.960
12175.921,2717.649,593.993,373.786,759.448,448.690|24342.818,5437.362,1188.745,748.383,1520.625,897.379|36484.902,8153.980,1781.978,1122.169,2280.937,1346.069|48146.539,10763.295,2356.981,1484.604,3005.825,1777.763
12060.883,2694.951,589.435,371.354,755.992,445.290|24140.939,5395.061,1180.389,743.518,1511.985,892.847|36120.617,8079.694,1768.305,1113.250,2261.929,1334.738|47969.473,10747.819,2352.423,1480.550,3002.369,1773.230
11971.785,2681.538,586.397,368.921,747.352,441.891|23908.609,5359.980,1172.034,737.842,1493.841,883.783|35843.176,8038.423,1758.431,1106.764,2237.737,1323.408|47786.766,10728.216,2345.587,1475.685,2986.818,1765.299
11949.229,2681.538,585.637,368.110,745.624,440.758|23880.412,5358.949,1172.034,737.032,1489.521,881.516|35768.738,8040.487,1756.152,1104.331,2233.417,1320.009|47579.246,10697.263,2339.510,1470.009,2968.674,1756.235
