11976.297,2681.538,584.118,368.110,744.760,439.625|23914.248,5358.949,1168.236,735.410,1489.521,879.250|35845.430,8033.265,1751.594,1102.709,2231.689,1316.609|47789.023,10704.485,2337.991,1470.820,2972.130,1756.235
11969.529,2678.443,584.118,367.300,743.032,438.492|23921.014,5356.885,1168.236,735.410,1486.929,876.984|35887.160,8027.074,1753.114,1102.709,2228.233,1315.476|47838.645,10712.739,2338.751,1470.820,2975.586,1755.102
11983.063,2677.411,584.878,368.110,743.896,439.625|23933.420,5353.790,1169.755,736.221,1487.793,879.250|35863.477,8033.265,1754.633,1104.331,2231.689,1316.609|47711.203,10695.199,2335.713,1470.009,2969.538,1751.702
11937.951,2675.347,583.358,367.300,743.032,438.492|23827.406,5344.504,1166.717,733.788,1483.473,876.984|35708.965,8007.471,1750.075,1101.088,2223.049,1313.210|47607.441,10669.405,2335.713,1470.009,2963.490,1752.835
11910.883,2669.157,583.358,367.300,740.440,438.492|24033.797,5361.013,1175.832,740.275,1489.521,883.783|35992.047,8067.312,1762.229,1108.385,2241.193,1323.408|48010.074,10757.104,2350.145,1478.117,2988.546,1765.299
12025.921,2690.824,587.156,369.732,749.080,441.891|24004.473,5376.489,1173.553,738.653,1494.705,882.650|36019.117,8058.027,1761.469,1109.196,2241.193,1324.541|48011.203,10756.073,2349.385,1479.739,2993.729,1767.565
12023.665,2691.855,586.397,369.732,749.080,443.024|24012.367,5379.584,1174.313,739.464,1497.297,882.650|36001.070,8059.059,1761.469,1108.385,2241.193,1323.408|48024.734,10755.041,2349.385,1478.928,2992.001,1765.299
12009.003,2687.729,587.156,368.921,748.216,440.758|23994.322,5368.235,1172.794,737.842,1493.841,881.516|35977.387,8048.741,1759.950,1108.385,2240.329,1323.408|48010.074,10742.660,2349.385,1478.928,2991.137,1767.565
11984.191,2683.602,585.637,368.921,747.352,440.758|23978.533,5367.203,1173.553,738.653,1493.841,882.650|35944.680,8050.805,1759.190,1107.574,2240.329,1323.408|47830.750,10713.771,2344.828,1474.874,2979.042,1760.767
11986.447,2684.633,586.397,369.732,747.352,441.891|23940.188,5367.203,1172.794,738.653,1494.705,882.650|35847.688,8044.614,1758.431,1106.764,2240.329,1322.275|47726.992,10705.517,2343.308,1475.685,2980.770,1761.900
