10407.502,2444.234,533.226,333.245,640.217,384.105|20961.621,4907.039,1072.529,669.734,1285.619,773.876|31546.189,7331.669,1614.110,1007.033,1918.924,1162.514|41083.016,9720.188,2119.232,1322.441,2535.814,1519.426
10283.442,2422.567,529.428,330.002,632.442,379.573|20301.848,4837.911,1049.741,654.328,1264.883,750.082|31819.123,7344.051,1623.985,1015.141,1927.564,1177.244|43527.000,9904.873,2208.103,1380.819,2604.070,1607.804
10965.772,2532.965,553.735,346.218,673.913,405.634|21897.709,5084.501,1107.470,692.437,1353.874,809.001|32853.332,7614.371,1661.964,1039.466,2024.331,1213.501|44282.637,10221.622,2235.448,1398.657,2725.892,1634.998
11081.938,2560.822,558.292,349.462,685.145,410.166|22157.107,5121.645,1116.585,698.923,1370.290,818.065|33149.945,7681.435,1674.117,1048.385,2056.299,1225.965|44130.379,10216.464,2230.890,1397.036,2730.212,1632.732
11009.757,2543.282,556.014,347.840,676.505,406.767|20016.510,4908.071,1040.626,647.031,1283.891,738.752|32977.391,7586.514,1668.041,1041.898,2011.371,1214.635|43865.344,10164.876,2216.458,1384.873,2699.972,1613.470
11061.637,2555.664,556.773,348.651,682.553,406.767|22148.086,5110.295,1113.546,697.302,1365.970,814.666|33144.309,7654.609,1668.800,1044.331,2045.931,1220.300|44220.605,10208.210,2227.093,1394.603,2728.484,1628.199
11059.381,2555.664,556.773,348.651,684.281,407.900|22084.928,5108.232,1112.027,696.491,1366.834,814.666|33217.617,7662.864,1672.598,1047.574,2049.387,1223.699|44349.176,10242.258,2233.169,1399.468,2737.988,1634.998
11088.704,2558.759,557.533,349.462,684.281,409.033|22249.588,5124.740,1118.104,700.545,1372.018,819.198|33297.691,7690.721,1676.396,1050.817,2060.619,1228.231|44446.168,10255.671,2236.967,1401.090,2745.764,1638.397
11112.389,2564.949,559.052,350.272,686.873,410.166|22255.229,5135.058,1119.623,701.356,1375.474,820.332|33290.926,7696.912,1677.156,1050.817,2059.755,1228.231|44377.371,10254.639,2236.967,1401.090,2743.172,1638.397
11131.562,2568.045,559.811,351.083,687.737,410.166|22237.182,5136.089,1119.623,701.356,1376.338,820.332|33346.188,7697.943,1680.194,1053.250,2061.483,1231.630|44503.688,10273.210,2242.284,1405.144,2757.860,1645.195
