10309.382,2343.122,514.996,321.083,633.306,376.174|20601.848,4691.402,1030.752,642.977,1269.203,753.481|30928.146,7036.587,1549.546,966.492,1905.101,1130.788|41379.633,9374.550,2075.176,1294.062,2534.086,1514.894
10334.194,2357.566,518.034,322.705,637.625,377.307|20632.299,4688.307,1034.550,644.599,1264.883,753.481|30921.379,7048.968,1551.825,965.682,1902.509,1128.522|41366.098,9387.962,2075.176,1293.251,2540.134,1512.628
10356.750,2347.249,518.794,323.516,636.762,378.440|20767.637,4702.751,1039.867,647.842,1277.843,759.147|30946.191,7037.619,1551.825,966.492,1906.829,1128.522|41306.324,9332.247,2069.100,1289.197,2521.126,1504.697
10280.059,2317.328,514.237,320.272,625.530,375.041|20595.080,4670.767,1029.992,642.166,1267.475,751.215|30946.191,7013.888,1549.546,965.682,1906.829,1129.655|40914.973,9292.009,2054.667,1278.656,2518.534,1488.834
10238.329,2325.582,513.477,319.461,629.850,372.775|20456.357,4644.973,1026.194,638.923,1257.971,744.417|30714.988,6974.681,1541.950,960.006,1889.549,1118.325|40900.312,9294.072,2055.427,1279.467,2521.126,1489.967
10197.729,2317.328,512.717,318.651,628.986,371.642|20375.156,4632.592,1025.435,637.301,1256.243,742.151|30505.215,6940.633,1536.633,955.141,1880.045,1111.527|40119.859,9184.706,2026.563,1259.197,2481.383,1460.507
9756.751,2239.946,495.247,307.299,598.746,354.646|19479.668,4462.352,989.734,613.788,1192.308,709.292|29309.729,6710.551,1489.539,923.519,1793.646,1066.204|39103.695,8971.132,1988.584,1232.440,2396.712,1421.984
9739.834,2235.819,495.247,307.299,596.154,354.646|19430.045,4464.415,988.975,612.166,1187.988,705.893|29171.006,6694.043,1485.741,920.276,1782.414,1060.539|39696.930,8960.814,2013.650,1249.467,2388.936,1446.911
10065.773,2303.915,508.160,316.218,619.482,368.243|20124.779,4605.766,1016.320,632.436,1238.099,736.485|30147.695,6897.299,1522.961,947.844,1856.717,1104.728|40220.238,9207.404,2031.880,1264.062,2483.111,1472.971
10072.540,2299.788,507.400,316.218,619.482,368.243|20133.803,4601.639,1014.801,631.625,1242.419,736.485|29948.072,6893.172,1513.086,941.357,1859.309,1095.664|40266.477,9169.229,2029.601,1263.251,2470.151,1471.838
