10090.585,2294.629,505.122,314.597,620.346,368.243|20156.359,4585.131,1009.484,628.382,1240.691,736.485|30221.004,6876.665,1513.846,942.168,1856.717,1102.462|40314.973,9165.103,2019.727,1256.765,2471.879,1470.705
10108.631,2297.724,505.122,314.597,621.210,369.376|20190.193,4588.226,1010.243,629.193,1241.555,736.485|30262.734,6879.760,1516.884,943.790,1860.173,1105.861|40265.348,9165.103,2019.727,1256.765,2477.063,1469.572
10070.285,2291.534,504.362,313.786,617.754,367.110|20106.734,4579.972,1009.484,627.571,1233.779,733.086|30095.816,6862.220,1512.326,939.736,1848.077,1096.797|40193.168,9142.404,2019.727,1255.954,2459.783,1466.173
10033.066,2285.343,503.602,312.975,616.026,365.977|20043.576,4575.845,1007.205,625.950,1234.643,730.820|30103.711,6854.998,1513.086,940.546,1850.669,1099.063|40096.176,9145.499,2017.448,1253.521,2467.559,1463.907
10029.684,2286.375,503.602,312.975,616.026,365.977|20028.916,4564.496,1007.205,625.950,1230.323,730.820|30060.854,6846.743,1513.086,940.546,1845.485,1097.930|39930.387,9122.801,2012.891,1250.278,2457.191,1458.241
10025.172,2285.343,503.602,312.975,614.298,364.844|20037.938,4568.623,1006.445,625.139,1226.004,729.687|30064.238,6851.902,1510.807,938.114,1837.709,1094.531|40187.531,9146.531,2018.967,1254.332,2459.783,1465.040
10043.217,2286.375,504.362,312.975,616.890,365.977|20076.283,4572.750,1008.724,626.761,1233.779,733.086|30101.455,6873.569,1513.846,940.546,1854.125,1097.930|40125.500,9146.531,2018.208,1254.332,2462.375,1463.907
10048.856,2289.470,505.122,313.786,616.890,367.110|20090.945,4575.845,1009.484,627.571,1234.643,733.086|30337.170,6899.363,1524.480,947.844,1862.765,1106.994|40216.852,9188.833,2025.803,1259.197,2475.335,1466.173
10059.007,2295.661,505.881,313.786,616.026,367.110|20051.473,4590.290,1010.243,626.761,1231.188,731.953|30125.141,6862.220,1518.403,942.979,1844.621,1099.063|40308.207,9183.675,2032.640,1262.440,2472.743,1472.971
10071.412,2297.724,507.400,315.407,619.482,368.243|20112.373,4594.417,1014.041,630.004,1236.371,734.219|30126.268,6881.823,1519.922,943.790,1848.077,1099.063|39968.734,9164.071,2018.967,1252.710,2459.783,1457.108
