10848.479,2453.520,537.784,336.489,669.593,396.569|21676.656,4908.071,1074.808,672.977,1341.778,792.005|32544.309,7357.463,1614.870,1011.898,2012.235,1190.840|43435.645,9821.301,2154.932,1351.630,2693.061,1591.942
10847.352,2453.520,537.784,337.299,673.049,397.702|21692.447,4900.849,1076.327,674.599,1343.506,795.404|32518.369,7355.400,1614.870,1011.898,2013.964,1190.840|43260.832,9803.761,2149.615,1345.143,2676.645,1580.611
10864.269,2454.551,538.543,337.299,672.185,397.702|21704.854,4911.166,1076.327,674.599,1344.370,795.404|32639.045,7351.273,1619.427,1015.141,2011.371,1195.373|42991.285,9750.109,2141.260,1340.279,2662.821,1572.680
10850.734,2455.583,538.543,337.299,670.457,396.569|21668.762,4916.325,1076.327,673.788,1342.642,792.005|32622.129,7371.908,1618.668,1013.520,2013.099,1191.974|43589.027,9829.555,2162.528,1354.873,2691.333,1595.341
10887.952,2456.615,540.062,338.110,674.777,398.835|21755.604,4913.229,1079.365,676.220,1348.690,796.537|32443.934,7360.559,1611.832,1009.466,2018.283,1187.441|43343.164,9788.284,2151.894,1347.576,2680.101,1585.143
10759.381,2437.011,533.986,334.056,664.409,393.170|21971.018,4888.467,1086.201,681.085,1334.002,803.336|32229.648,7304.844,1602.717,1002.979,1992.364,1178.377|42933.766,9751.141,2136.702,1337.846,2669.733,1571.547
10757.126,2433.916,534.745,334.867,668.729,394.303|21489.439,4865.769,1069.490,669.734,1334.002,787.473|32190.174,7295.558,1602.717,1002.168,1993.228,1177.244|42987.902,9732.569,2138.221,1337.035,2651.589,1570.414
10819.155,2442.170,536.264,335.678,668.729,395.436|22203.348,4935.928,1096.835,689.193,1353.010,815.799|32830.773,7406.988,1626.264,1020.817,2030.379,1204.437|43805.570,9895.587,2170.884,1362.981,2717.252,1608.938
10931.938,2475.187,540.822,339.732,679.097,401.101|21738.688,4928.706,1077.846,676.220,1346.962,795.404|32599.572,7370.876,1616.389,1012.709,2012.235,1190.840|43503.312,9835.745,2157.970,1352.441,2688.741,1591.942
10859.757,2454.551,538.543,337.299,673.049,397.702|21712.748,4913.229,1076.327,674.599,1348.690,795.404|32527.393,7372.940,1614.110,1011.898,2020.875,1191.974|43417.602,9822.332,2154.173,1348.387,2687.877,1588.543
